;year;hour;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;count
160;2011;12;spring;yes;0;good;21.32;25.0;55;19.0012;200
161;2011;8;autumn;no;1;good;9.84;14.395;81;0.0;385
162;2012;4;summer;no;1;moderate;27.06;31.06;61;0.0;11
163;2012;13;summer;no;0;good;38.54;43.94;38;16.9979;337
164;2012;4;autumn;yes;0;good;16.4;20.455;76;6.0032;4
165;2011;12;autumn;no;1;good;20.5;24.24;48;6.0032;176
166;2011;23;spring;yes;0;moderate;14.76;17.425;81;12.998;64
167;2011;13;autumn;no;1;bad;18.86;22.725;94;8.9981;58
168;2011;0;winter;no;1;bad;8.2;9.09;100;22.0028;4
169;2012;23;winter;no;1;good;4.1;3.79;46;26.0027;18
170;2012;4;winter;no;0;good;13.12;16.665;57;6.0032;10
171;2011;16;winter;no;0;moderate;19.68;23.485;59;19.9995;204
172;2011;16;summer;no;0;good;36.08;37.12;22;15.0013;398
173;2012;21;winter;no;1;moderate;13.12;16.665;66;6.0032;122
174;2012;7;winter;no;1;good;8.2;10.605;59;11.0014;230
175;2011;6;autumn;no;1;good;6.56;9.09;80;7.0015;64
176;2012;10;spring;no;1;good;29.52;34.09;62;11.0014;147
177;2011;16;spring;yes;0;good;21.32;25.0;55;32.9975;243
178;2012;10;autumn;no;1;good;13.12;16.665;70;7.0015;164
179;2011;12;winter;no;1;good;12.3;15.15;39;8.9981;86
180;2012;18;autumn;no;0;good;21.32;25.0;48;27.9993;495
181;2012;5;spring;no;1;good;15.58;19.695;43;19.0012;29
182;2012;5;spring;no;1;good;22.14;25.76;88;7.0015;33
183;2011;5;spring;no;0;bad;21.32;25.0;100;7.0015;14
184;2012;19;autumn;no;0;good;19.68;23.485;55;15.0013;341
185;2011;21;spring;no;0;good;21.32;25.0;77;6.0032;127
186;2012;12;summer;no;1;good;31.16;36.365;70;19.0012;287
187;2012;13;autumn;no;1;good;18.86;22.725;38;19.9995;299
188;2011;7;winter;no;1;good;3.28;8.335;73;0.0;74
189;2012;16;summer;no;0;good;31.16;34.09;40;7.0015;513
190;2012;18;spring;no;1;good;28.7;32.575;54;8.9981;743
191;2011;20;autumn;no;0;good;9.02;10.605;69;16.9979;106
192;2011;13;spring;no;1;moderate;22.14;25.76;68;15.0013;129
193;2012;21;spring;no;1;good;21.32;25.0;77;15.0013;239
194;2011;8;summer;no;1;good;17.22;21.21;67;15.0013;409
195;2012;19;autumn;no;1;good;14.76;17.425;46;15.0013;332
196;2012;6;spring;no;1;good;18.86;22.725;88;7.0015;170
197;2011;4;spring;no;1;moderate;22.96;26.515;68;7.0015;6
198;2011;6;winter;no;1;moderate;9.02;12.88;93;6.0032;32
199;2012;11;autumn;no;0;good;17.22;21.21;35;8.9981;527
200;2011;5;spring;no;1;good;13.94;15.91;76;15.0013;6
201;2012;7;spring;no;1;moderate;24.6;28.79;78;8.9981;480
202;2011;11;spring;no;1;good;21.32;25.0;45;11.0014;115
203;2012;6;winter;no;1;good;11.48;12.88;61;26.0027;108
204;2011;9;summer;no;0;good;28.7;32.575;54;15.0013;222
205;2011;11;autumn;no;1;good;22.14;25.76;49;0.0;144
206;2011;0;spring;no;0;moderate;12.3;16.665;61;0.0;32
207;2011;19;autumn;no;1;good;22.96;26.515;60;7.0015;317
208;2011;21;summer;no;1;moderate;28.7;33.335;74;12.998;211
209;2012;4;summer;no;1;moderate;21.32;25.0;68;23.9994;10
210;2011;5;summer;no;1;good;26.24;29.545;78;7.0015;17
211;2012;23;spring;no;1;good;22.14;25.76;37;12.998;180
212;2012;10;summer;no;1;good;33.62;37.12;43;15.0013;209
213;2011;8;spring;no;0;bad;20.5;24.24;94;0.0;88
214;2011;12;spring;no;1;good;25.42;30.305;69;15.0013;187
215;2011;11;spring;no;0;good;17.22;21.21;41;16.9979;243
216;2012;14;winter;no;1;bad;13.12;15.91;81;12.998;31
217;2011;14;winter;no;1;good;27.06;31.06;39;16.9979;174
218;2011;1;spring;no;1;good;22.96;26.515;94;8.9981;23
219;2011;8;spring;no;1;good;23.78;27.275;53;8.9981;498
220;2011;17;autumn;no;1;moderate;24.6;28.79;78;16.9979;604
221;2011;7;summer;no;1;moderate;22.14;25.76;83;23.9994;172
222;2011;5;spring;no;1;good;16.4;20.455;76;6.0032;16
223;2011;6;summer;no;1;good;24.6;27.275;88;16.9979;90
224;2011;18;autumn;no;0;good;13.94;16.665;53;8.9981;224
225;2012;4;summer;no;1;good;25.42;29.545;73;15.0013;5
226;2011;10;winter;no;0;good;12.3;13.635;45;22.0028;105
227;2012;10;summer;no;1;good;31.16;35.605;62;12.998;190
228;2012;9;spring;no;0;good;24.6;31.06;56;8.9981;222
229;2011;0;winter;no;1;good;5.74;6.06;59;19.0012;7
230;2011;14;spring;no;1;moderate;28.7;32.575;58;35.0008;158
231;2012;1;winter;no;1;good;11.48;13.635;61;11.0014;10
232;2012;23;autumn;no;1;good;10.66;15.15;60;0.0;120
233;2012;13;summer;no;1;good;34.44;39.395;49;19.0012;239
234;2012;9;winter;no;0;good;13.12;16.665;53;8.9981;125
235;2011;22;autumn;no;1;good;12.3;15.15;52;11.0014;107
236;2012;10;autumn;no;1;good;13.12;15.15;45;19.0012;167
237;2011;10;autumn;no;0;good;14.76;18.18;66;6.0032;262
238;2011;23;spring;no;1;good;31.16;37.12;75;12.998;116
239;2012;3;autumn;no;1;good;8.2;11.365;69;7.0015;12
240;2012;1;winter;no;1;bad;14.76;17.425;93;12.998;3
241;2011;11;winter;no;0;good;18.86;22.725;36;30.0026;196
242;2011;17;winter;yes;0;good;8.2;9.85;51;12.998;71
243;2011;3;spring;no;0;good;9.84;12.12;70;11.0014;9
244;2011;3;autumn;no;0;bad;13.94;15.91;87;19.0012;9
245;2011;13;spring;no;1;moderate;22.96;26.515;88;22.0028;172
246;2012;6;spring;no;1;bad;21.32;25.0;94;19.9995;65
247;2011;22;autumn;no;1;moderate;12.3;15.15;49;11.0014;106
248;2011;21;winter;no;1;bad;6.56;9.85;86;6.0032;20
249;2012;21;summer;no;1;good;29.52;33.335;58;15.0013;391
250;2012;0;summer;no;0;good;27.88;31.82;89;11.0014;187
251;2012;12;spring;no;1;good;26.24;31.06;41;30.0026;282
252;2012;1;winter;no;1;good;11.48;14.395;61;8.9981;14
253;2011;15;spring;no;1;good;26.24;31.06;41;0.0;179
254;2011;6;spring;no;1;moderate;20.5;24.24;94;0.0;103
255;2012;15;spring;no;1;good;24.6;31.06;43;0.0;262
256;2011;21;summer;no;1;good;28.7;32.575;48;6.0032;206
257;2011;20;summer;no;0;good;30.34;34.85;70;19.9995;229
258;2012;23;summer;no;1;moderate;28.7;32.575;65;7.0015;131
259;2011;16;winter;no;1;good;10.66;12.88;38;11.0014;86
260;2011;2;summer;no;0;good;18.86;22.725;82;6.0032;79
261;2011;22;winter;no;1;good;13.94;16.665;53;12.998;73
262;2011;18;summer;no;1;good;31.16;35.605;58;35.0008;425
263;2012;8;winter;no;1;good;6.56;9.09;59;7.0015;501
264;2012;0;autumn;no;1;moderate;15.58;19.695;87;0.0;28
265;2011;10;winter;no;0;good;9.02;10.605;51;19.0012;79
266;2011;22;spring;no;1;good;15.58;19.695;62;15.0013;89
267;2012;1;autumn;no;1;moderate;12.3;15.15;56;11.0014;8
268;2012;4;summer;no;0;good;26.24;30.305;69;6.0032;10
269;2012;4;autumn;no;0;moderate;16.4;20.455;94;7.0015;12
270;2012;9;autumn;no;1;moderate;12.3;15.15;81;8.9981;301
271;2011;10;summer;no;1;good;32.8;37.12;52;26.0027;124
272;2011;14;summer;no;0;good;31.98;37.88;66;22.0028;361
273;2011;21;spring;no;0;good;20.5;24.24;42;12.998;83
274;2011;10;winter;no;0;good;15.58;19.695;76;16.9979;36
275;2012;8;winter;no;1;good;8.2;11.365;82;7.0015;499
276;2012;1;winter;no;0;moderate;6.56;6.82;47;19.9995;42
277;2011;15;winter;no;1;moderate;14.76;18.94;18;0.0;112
278;2011;2;autumn;no;1;moderate;21.32;25.0;94;8.9981;5
279;2012;6;spring;no;1;good;24.6;31.06;46;16.9979;144
280;2011;2;spring;no;1;good;22.96;26.515;43;15.0013;12
281;2012;1;autumn;no;0;good;22.96;26.515;83;16.9979;141
282;2011;21;spring;no;1;good;27.06;31.06;31;12.998;248
283;2012;17;spring;no;1;good;26.24;30.305;25;19.9995;781
284;2011;21;autumn;no;1;bad;12.3;12.88;87;35.0008;6
285;2011;1;spring;no;1;good;18.86;22.725;63;15.0013;7
286;2011;18;autumn;no;1;moderate;20.5;24.24;72;19.0012;441
287;2011;19;summer;no;1;good;28.7;32.575;65;0.0;397
288;2011;1;summer;no;1;good;27.88;31.82;83;8.9981;12
289;2011;18;autumn;no;1;bad;18.86;22.725;88;26.0027;189
290;2012;18;winter;no;0;good;6.56;6.06;40;31.0009;96
291;2012;4;autumn;no;1;good;9.02;12.88;69;6.0032;7
292;2012;6;summer;no;1;moderate;27.88;31.82;89;7.0015;172
293;2012;22;summer;no;0;good;29.52;34.85;79;6.0032;157
294;2011;16;summer;yes;0;good;33.62;37.12;41;0.0;452
295;2011;10;spring;no;1;moderate;13.94;15.91;93;19.0012;31
296;2012;23;summer;no;0;bad;27.06;30.305;78;11.0014;163
297;2011;14;autumn;no;1;good;14.76;17.425;46;15.0013;137
298;2011;20;summer;no;0;good;29.52;35.605;84;8.9981;183
299;2011;7;autumn;no;1;bad;21.32;25.0;77;16.9979;68
300;2012;21;spring;no;0;good;30.34;32.575;40;12.998;316
301;2012;12;autumn;no;1;moderate;21.32;25.0;48;11.0014;332
302;2012;6;summer;no;1;moderate;28.7;32.575;54;0.0;127
303;2011;22;summer;no;1;good;30.34;32.575;37;0.0;139
304;2012;17;autumn;no;1;good;13.12;15.15;53;15.0013;627
305;2012;18;spring;no;1;bad;24.6;31.06;53;12.998;782
306;2012;17;summer;no;1;moderate;26.24;30.305;65;15.0013;842
307;2012;19;spring;no;1;good;32.8;38.635;59;15.0013;514
308;2011;18;autumn;no;0;good;9.84;11.365;48;12.998;163
309;2012;15;autumn;no;1;good;18.86;22.725;44;32.9975;246
310;2011;22;spring;no;1;good;13.12;15.15;49;19.9995;46
311;2011;19;summer;no;1;bad;25.42;29.545;73;31.0009;165
312;2012;20;summer;no;0;moderate;23.78;27.275;88;6.0032;194
313;2012;23;autumn;no;1;good;18.86;22.725;88;16.9979;84
314;2012;22;winter;no;1;good;22.96;26.515;60;6.0032;170
315;2011;5;summer;no;0;good;23.78;27.275;73;7.0015;14
316;2011;5;winter;no;1;moderate;9.02;12.88;93;6.0032;7
317;2012;0;winter;no;1;moderate;17.22;21.21;94;0.0;11
318;2011;10;summer;no;1;good;30.34;34.85;66;16.9979;129
319;2012;22;winter;no;0;good;18.86;22.725;55;27.9993;66
320;2012;9;spring;no;0;good;18.04;21.97;26;15.0013;179
321;2012;19;summer;no;1;good;30.34;33.335;48;15.0013;633
322;2011;7;spring;no;0;good;26.24;29.545;78;8.9981;57
323;2012;14;winter;no;1;good;10.66;10.605;33;36.9974;129
324;2012;10;autumn;no;1;good;18.04;21.97;77;6.0032;184
325;2012;15;autumn;no;1;bad;25.42;28.79;83;8.9981;209
326;2011;17;autumn;no;0;good;16.4;20.455;40;12.998;232
327;2011;3;winter;no;1;moderate;6.56;11.365;69;0.0;2
328;2012;2;winter;no;0;moderate;18.04;21.97;88;0.0;42
329;2011;7;autumn;no;1;good;17.22;21.21;62;12.998;302
330;2012;17;winter;no;0;bad;12.3;14.395;70;12.998;67
331;2011;10;autumn;no;1;good;10.66;12.12;41;19.0012;115
332;2011;19;winter;no;1;good;6.56;6.06;40;31.0009;101
333;2012;3;spring;no;1;good;18.04;21.97;30;11.0014;3
334;2011;13;autumn;no;1;moderate;12.3;15.91;52;7.0015;166
335;2011;13;autumn;no;0;good;16.4;20.455;37;7.0015;355
336;2012;19;winter;no;1;bad;14.76;17.425;87;12.998;174
337;2012;9;spring;no;1;good;28.7;32.575;65;8.9981;316
338;2012;2;summer;no;0;good;23.78;27.275;78;7.0015;93
339;2011;1;spring;no;1;good;24.6;31.06;38;23.9994;22
340;2011;0;winter;no;0;good;10.66;15.15;56;0.0;39
341;2011;12;spring;no;1;good;21.32;25.0;34;23.9994;196
342;2011;23;spring;no;0;good;27.06;31.06;74;7.0015;131
343;2011;10;summer;no;0;good;28.7;33.335;74;8.9981;297
344;2012;11;spring;no;1;moderate;31.16;34.09;48;15.0013;202
345;2011;0;winter;no;1;good;9.02;9.85;44;23.9994;5
346;2012;22;autumn;no;1;good;18.86;22.725;55;19.9995;197
347;2011;10;summer;no;0;good;30.34;34.09;60;15.0013;304
348;2011;9;autumn;no;0;moderate;12.3;15.91;75;6.0032;170
349;2012;13;autumn;no;0;good;21.32;25.0;39;0.0;651
350;2011;13;spring;no;1;moderate;32.8;36.365;43;16.9979;196
351;2011;7;winter;no;1;bad;15.58;19.695;0;15.0013;37
352;2012;21;spring;no;0;moderate;24.6;30.305;60;8.9981;230
353;2012;4;winter;no;1;good;7.38;10.605;80;7.0015;2
354;2012;12;spring;no;0;good;25.42;31.06;43;23.9994;668
355;2011;4;spring;no;1;bad;16.4;20.455;94;22.0028;3
356;2011;0;winter;no;1;bad;12.3;14.395;93;16.9979;8
357;2012;14;winter;no;1;good;9.84;11.365;44;12.998;119
358;2012;12;spring;no;1;bad;18.86;22.725;51;7.0015;110
359;2011;15;summer;no;1;good;31.16;36.365;70;19.0012;185
360;2011;18;winter;no;1;good;14.76;18.18;40;7.0015;235
361;2012;15;autumn;no;1;moderate;16.4;20.455;54;11.0014;214
362;2011;11;spring;no;1;good;26.24;31.06;31;22.0028;192
363;2012;10;winter;no;1;bad;17.22;21.21;77;7.0015;78
364;2012;13;winter;no;1;good;17.22;21.21;44;15.0013;222
365;2012;3;spring;no;1;good;18.04;21.97;58;6.0032;3
366;2012;5;autumn;no;1;moderate;12.3;14.395;42;15.0013;35
367;2012;22;summer;no;1;good;29.52;33.335;51;11.0014;318
368;2012;1;winter;no;1;moderate;11.48;12.88;65;23.9994;2
369;2011;13;spring;no;0;good;24.6;31.06;35;19.0012;436
370;2012;15;autumn;no;0;good;22.96;26.515;37;15.0013;724
371;2012;21;winter;no;0;moderate;18.04;21.97;67;16.9979;71
372;2011;1;summer;no;1;good;26.24;30.305;69;11.0014;16
373;2012;16;winter;no;1;good;22.96;26.515;37;27.9993;288
374;2011;10;spring;no;0;good;22.96;26.515;49;19.9995;298
375;2012;16;winter;no;0;good;8.2;8.335;34;31.0009;164
376;2011;2;autumn;no;1;good;13.12;17.425;87;0.0;8
377;2011;17;spring;no;1;good;29.52;31.82;25;19.0012;558
378;2012;11;spring;no;1;moderate;15.58;19.695;43;22.0028;180
379;2011;6;winter;no;1;good;4.92;7.575;74;7.0015;36
380;2012;14;autumn;no;1;good;24.6;31.06;40;11.0014;271
381;2011;3;summer;no;0;good;26.24;30.305;69;15.0013;47
382;2011;0;winter;no;1;good;18.04;21.97;72;19.0012;32
383;2011;22;spring;no;1;good;19.68;23.485;39;12.998;165
384;2012;23;autumn;no;0;good;14.76;17.425;66;15.0013;59
385;2012;11;spring;no;0;good;22.96;26.515;73;7.0015;414
386;2011;19;summer;no;0;moderate;27.06;30.305;83;12.998;183
387;2011;20;summer;no;1;good;29.52;32.575;42;15.0013;269
388;2011;9;summer;yes;0;moderate;29.52;34.09;66;6.0032;238
389;2012;22;summer;no;1;good;29.52;34.85;74;7.0015;224
390;2012;10;spring;no;1;good;27.06;31.06;47;16.9979;249
391;2011;22;autumn;no;1;good;14.76;16.665;53;19.0012;89
392;2012;23;autumn;no;1;moderate;11.48;13.635;56;15.0013;79
393;2011;20;summer;no;1;good;26.24;28.03;94;6.0032;210
394;2012;1;spring;no;1;good;17.22;21.21;50;15.0013;9
395;2011;15;summer;no;0;good;30.34;34.09;55;15.0013;480
396;2011;4;spring;no;1;moderate;13.94;16.665;86;8.9981;1
397;2012;20;autumn;no;1;moderate;15.58;19.695;54;16.9979;296
398;2011;3;autumn;no;1;good;22.96;26.515;94;8.9981;7
399;2011;6;spring;no;0;moderate;14.76;18.18;93;6.0032;4
400;2011;22;winter;no;1;good;12.3;14.395;49;15.0013;55
401;2011;19;spring;no;1;good;27.88;31.06;26;19.0012;391
402;2011;16;autumn;no;1;good;26.24;31.06;44;0.0;419
403;2011;19;summer;no;1;good;31.16;34.85;55;15.0013;347
404;2012;7;spring;no;1;moderate;22.96;26.515;94;12.998;418
405;2011;6;summer;yes;0;good;26.24;28.79;89;11.0014;16
406;2011;23;winter;no;1;good;4.92;6.82;50;12.998;15
407;2011;13;winter;no;0;good;18.86;22.725;38;26.0027;221
408;2012;1;summer;no;0;good;24.6;29.545;73;0.0;109
409;2012;8;winter;no;1;good;18.86;22.725;88;7.0015;579
410;2012;10;winter;no;1;good;21.32;25.0;68;7.0015;164
411;2012;18;winter;no;1;good;16.4;20.455;43;31.0009;410
412;2012;2;spring;no;1;good;22.96;26.515;83;7.0015;4
